Original Cell Type Name,Standardized Celltype Name
Endothelial_Cell_Pulmonary_Artery,Endothelial_Cell_Pulmonary_Artery
Endothelial_Cell_Umbilical_Vein,Endothelial_Cell_Umbilical_Vein
EP156T_Epithelium_Prostate,EP156T_Epithelium_Prostate
Epithelium,Epithelium
Epithelium_Alveoli,Epithelium_Alveoli
Epithelium_Amnion,Epithelium_Amnion
Epithelium_Amniotic_Membrane,Epithelium_Amniotic_Membrane
Epithelium_Breast,Epithelium_Breast
Epithelium_Bronchia,Epithelium_Bronchia
Epithelium_Cervix,Epithelium_Cervix
Epithelium_Colon,Epithelium_Colon
Epithelium_Corneal_Epithelium,Epithelium_Corneal_Epithelium
Epithelium_Epididymis,Epithelium_Epididymis
Epithelium_Esophagus,Epithelium_Esophagus
Epithelium_Fetal_Heart,Epithelium_Fetal_Heart
Epithelium_Fetal_Kidney,Epithelium_Fetal_Kidney
Epithelium_Fetal_Kidney_Left,Epithelium_Fetal_Kidney_Left
Epithelium_Fetal_Kidney_Right,Epithelium_Fetal_Kidney_Right
Epithelium_Fetal_Large_Intestine,Epithelium_Fetal_Large_Intestine
Epithelium_Fetal_Lung,Epithelium_Fetal_Lung
Epithelium_Fetal_Lung_Left,Epithelium_Fetal_Lung_Left
Epithelium_Fetal_Lung_Right,Epithelium_Fetal_Lung_Right
Epithelium_Fetal_Muscle_Lower_Limb,Epithelium_Fetal_Muscle_Lower_Limb
Epithelium_Fetal_Placenta,Epithelium_Fetal_Placenta
Epithelium_Fetal_Renal_Pelvis,Epithelium_Fetal_Renal_Pelvis
Epithelium_Fetal_Renal_Pelvis_Left,Epithelium_Fetal_Renal_Pelvis_Left
Epithelium_Fetal_Renal_Pelvis_Right,Epithelium_Fetal_Renal_Pelvis_Right
Epithelium_Fetal_Small_Intestine,Epithelium_Fetal_Small_Intestine
Epithelium_Heart,Epithelium_Heart
Epithelium_Kidney,Epithelium_Kidney
Epithelium_Large_Intestine,Epithelium_Large_Intestine
Epithelium_Liver,Epithelium_Liver
Epithelium_Lung,Epithelium_Lung
Epithelium_Mammary_Gland,Epithelium_Mammary_Gland
Epithelium_Pancreatic_Islet,Epithelium_Pancreatic_Islet
Epithelium_Prostate,Epithelium_Prostate
Epithelium_Small_Intestine,Epithelium_Small_Intestine
Epithelium_Upper_Limb_Muscle,Epithelium_Upper_Limb_Muscle
Epithelium_Urinary_Bladder,Epithelium_Urinary_Bladder
Erythroblast,Erythroblast_Blood
Erythroblast_Blood,Erythroblast_Blood
Erythroblast_Fetal_Liver,Erythroblast_Fetal_Liver
